Stimulus,Variant,Node0,Node1,Label
both,GRU,-3.138072014,2.365171671,1
both,GRU,3.148275614,-2.964143753,0
both,GRU,3.25989747,-3.073003292,0
both,GRU,-3.085395575,2.323602915,1
both,GRU,-3.057781696,2.304784298,1
both,GRU,-3.093605042,2.334840775,1
both,GRU,-2.83409071,2.112114668,1
both,GRU,3.495502472,-3.302826881,0
both,GRU,3.451405287,-3.258753538,0
both,GRU,-3.001362324,2.242783308,1
both,GRU,3.542593241,-3.342033148,0
both,GRU,3.513900518,-3.316014051,0
both,GRU,3.519442797,-3.319930315,0
both,GRU,-2.809673786,2.068696022,1
both,GRU,-3.061214685,2.320029736,1
both,GRU,-3.018174887,2.266617775,1
both,GRU,3.516972542,-3.320356369,0
both,GRU,-3.055561543,2.307535172,1
both,GRU,-3.025851965,2.261433125,1
both,GRU,-3.026607037,2.271677732,1
both,GRU,3.515908241,-3.319167137,0
both,GRU,3.286335468,-3.098378181,0
both,GRU,2.971895456,-2.793591022,0
both,GRU,3.239614725,-3.054396153,0
both,GRU,3.856132269,-2.97700882,0
both,GRU,3.87894702,-3.087527752,0
both,GRU,3.781960249,-2.905933857,0
both,GRU,-3.298879147,2.038598537,1
both,GRU,3.868056059,-3.017344475,0
both,GRU,-0.337881327,-0.108387232,1
both,GRU,3.769544125,-2.857202053,0
both,GRU,-3.796168089,2.543951988,1
both,GRU,3.880986929,-3.050305843,0
both,GRU,-3.901619196,2.539863586,1
both,GRU,-2.507384062,1.610289574,1
both,GRU,-3.561442614,2.318955421,1
both,GRU,-2.363297939,1.295189142,1
both,GRU,0.992179751,-0.7530545,0
both,GRU,3.974449873,-3.162997246,0
both,GRU,-3.606972933,2.310180426,1
both,GRU,-1.859096527,3.100137234,1
both,GRU,2.588958263,-3.895011187,0
both,GRU,2.643553019,-4.095327854,0
both,GRU,-1.880321026,3.130542755,1
both,GRU,-1.918357611,3.135506392,1
both,GRU,2.432380676,-3.522325754,0
both,GRU,-1.877361298,3.055685282,1
both,GRU,2.545472622,-3.787020922,0
both,GRU,2.488875389,-3.764564753,0
both,GRU,2.662823439,-4.124593258,0
both,GRU,-1.899642468,3.149750233,1
both,GRU,1.625641346,-2.192676306,0
both,GRU,-1.841237783,3.06419158,1
both,GRU,-1.891725063,3.128314734,1
both,GRU,-1.890515327,3.042358398,1
both,GRU,-1.923967123,3.101381063,1
both,GRU,-1.80915761,2.992880583,1
both,GRU,2.479215384,-3.643536806,0
both,GRU,2.657131672,-4.094513893,0
both,GRU,2.657414198,-4.136714458,0
both,GRU,-1.850108624,3.058612585,1
both,GRU,2.553287506,-3.773066044,0
both,GRU,-1.936242104,3.178709269,1
both,GRU,2.518088818,-3.733766556,0
both,GRU,-3.682733297,2.340298414,1
both,GRU,3.873514175,-2.21183157,0
both,GRU,-3.819613934,2.409776211,1
both,GRU,3.917024612,-2.179452419,0
both,GRU,-3.407110214,2.232676506,1
both,GRU,3.931776524,-2.124689341,0
both,GRU,3.830636024,-2.240375757,0
both,GRU,-3.792398453,2.412979126,1
both,GRU,3.888102055,-2.202593327,0
both,GRU,3.897439003,-2.198409796,0
both,GRU,3.917710304,-2.184849262,0
both,GRU,2.016934633,-0.834557414,1
both,GRU,3.934929848,-2.159656763,0
both,GRU,-3.592342854,2.229994297,1
both,GRU,-3.725535393,2.380804539,1
both,GRU,-3.630247593,2.324986458,1
both,GRU,-2.343173504,2.96609211,1
both,GRU,2.631905556,-1.737929463,0
both,GRU,3.936544895,-2.751991987,0
both,GRU,-2.23750639,2.851121902,1
both,GRU,3.357328892,-2.328882694,0
both,GRU,-2.3977108,3.031514883,1
both,GRU,-2.232246399,2.850662231,1
both,GRU,3.945155144,-2.733479977,0
both,GRU,3.438867807,-2.37994957,0
both,GRU,-2.258099556,2.879742384,1
both,GRU,-2.51573801,3.132632732,1
both,GRU,3.327870846,-2.246590137,0
both,GRU,3.683512211,-2.579119205,0
both,GRU,-2.27353096,2.876197338,1
both,GRU,-2.44110918,3.041788101,1
both,GRU,3.681596279,-2.589979172,0
both,GRU,-2.569885731,2.698176861,1
both,GRU,-2.551908255,2.712511778,1
both,GRU,-2.699584484,2.749898911,1
both,GRU,4.085796833,-2.65903616,0
both,GRU,3.686315298,-2.353892326,0
both,GRU,-2.82324028,2.868727684,1
both,GRU,3.956208944,-2.55437088,0
both,GRU,-2.748729944,2.779910326,1
both,GRU,4.290525913,-2.812016249,0
both,GRU,4.357774735,-2.861852169,0
both,GRU,-2.687262297,2.726999998,1
both,GRU,-2.699337959,2.76518178,1
both,GRU,4.186107159,-2.730425596,0
both,GRU,4.395630836,-2.887977362,0
both,GRU,4.131455421,-2.691232443,0
both,GRU,-2.789983749,2.852662086,1
both,GRU,-2.730684042,2.800976038,1
both,GRU,4.398567677,-2.894269228,0
both,GRU,-2.767609835,2.82618165,1
both,GRU,-2.54144454,2.670135498,1
both,GRU,4.441454887,-2.937170029,0
both,GRU,3.683624983,-2.32598877,0
both,GRU,4.270464897,-2.794311762,0
both,GRU,-2.71218729,2.7469275,1
both,GRU,-3.572975159,1.255821228,1
both,GRU,1.791839004,-0.86313653,0
both,GRU,-3.812757015,1.267071247,1
both,GRU,5.138884544,-1.772088647,0
both,GRU,-3.948447227,1.243662596,1
both,GRU,-3.511268616,1.248009205,1
both,GRU,4.834215641,-1.701663256,0
both,GRU,5.073423862,-1.733927131,0
both,GRU,3.28964138,-1.291402817,0
both,GRU,-3.787874222,1.306950808,1
both,GRU,4.974373817,-1.735105515,0
both,GRU,4.926031113,-1.734290957,0
both,GRU,-3.696266174,1.277621508,1
both,GRU,-3.897707939,1.280390739,1
both,GRU,-3.932264805,1.280496836,1
both,GRU,4.452663422,-1.641891956,0
both,GRU,1.795771122,-5.338691235,0
both,GRU,-3.142585278,2.625746489,1
both,GRU,-3.180177212,2.601598978,1
both,GRU,1.794960737,-5.268493652,0
both,GRU,1.796427727,-5.308509827,0
both,GRU,-3.153126478,2.701604605,1
both,GRU,-3.152333498,2.604934454,1
both,GRU,1.796660185,-5.280149937,0
both,GRU,-3.151403904,2.566617966,1
both,GRU,1.794584751,-5.262876511,0
both,GRU,1.782363176,-5.247220039,0
both,GRU,-3.076472998,2.461941242,1
both,GRU,1.753056765,-5.383003712,0
both,GRU,-3.148471117,2.673967361,1
both,GRU,-3.009290934,2.302478552,1
both,GRU,1.798743963,-5.310326576,0
both,GRU,2.261105776,-0.957635582,0
both,GRU,-4.206591129,1.659931421,1
both,GRU,4.788555145,-1.812201977,0
both,GRU,-4.136178017,1.658650637,1
both,GRU,4.194479942,-1.603769064,0
both,GRU,4.74433136,-1.800207376,0
both,GRU,-4.248646736,1.781760454,1
both,GRU,4.537200928,-1.722218037,0
both,GRU,-3.806268454,1.522953987,1
both,GRU,4.51211834,-1.714249611,0
both,GRU,4.586811066,-1.741260052,0
both,GRU,-3.597579241,1.449021578,1
both,GRU,-3.219790936,1.274923921,1
both,GRU,-4.209882736,1.647717953,1
both,GRU,-4.322203636,1.688326836,1
both,GRU,4.706630707,-1.774387121,0
both,GRU,4.701378822,-2.561184168,0
both,GRU,-2.293120861,3.091513634,1
both,GRU,-2.581920147,3.316581964,1
both,GRU,4.7028265,-2.564976692,0
both,GRU,4.432284355,-2.357501268,0
both,GRU,-2.533219099,3.276189804,1
both,GRU,-2.320414066,3.099880219,1
both,GRU,-2.48746109,3.224476814,1
both,GRU,4.585952759,-2.477661133,0
both,GRU,4.666889191,-2.536994696,0
both,GRU,-2.452672243,3.218524933,1
both,GRU,4.549674511,-2.445500135,0
both,GRU,-2.499254465,3.252606392,1
both,GRU,4.320653915,-2.281922579,0
both,GRU,-2.367299557,3.13943553,1
both,GRU,4.478748322,-2.396753311,0
both,GRU,-3.792299032,1.446595669,1
both,GRU,3.549728155,-4.092158794,0
both,GRU,3.503061056,-4.067012787,0
both,GRU,-3.846449137,1.482010841,1
both,GRU,-3.888517141,1.509752035,1
both,GRU,-3.786468744,1.446458101,1
both,GRU,-3.606320381,1.31357193,1
both,GRU,3.168923616,-3.845299959,0
both,GRU,3.541303396,-4.088938236,0
both,GRU,3.549755335,-4.088611126,0
both,GRU,-3.843560219,1.477919102,1
both,GRU,-3.790399075,1.424769402,1
both,GRU,-3.777201176,1.508797884,1
both,GRU,3.3959167,-3.999674797,0
both,GRU,3.530589819,-4.087152958,0
both,GRU,2.187712431,-3.135692596,0
both,GRU,2.684129238,-5.045310974,0
both,GRU,2.06063509,-4.040353298,0
both,GRU,2.788920403,-5.073041916,0
both,GRU,2.647085667,-5.048828602,0
both,GRU,-1.165927887,2.683021545,1
both,GRU,2.594360352,-5.001583576,0
both,GRU,-1.277730346,2.850486755,1
both,GRU,-1.943047524,3.932099342,1
both,GRU,2.14891386,-4.301063061,1
both,GRU,-0.541645944,1.541000843,1
both,GRU,-1.166891813,2.697969437,1
both,GRU,2.631316185,-4.871045113,0
both,GRU,2.502822399,-4.860210419,0
both,GRU,2.531639576,-4.965939999,1
both,GRU,-1.869592786,3.816984653,1
both,GRU,2.705588818,-5.061306477,0
both,GRU,-2.926843882,2.920313835,1
both,GRU,2.182560444,-2.465984344,0
both,GRU,-3.041945457,3.048048973,1
both,GRU,2.903724432,-3.233876705,0
both,GRU,3.130593777,-3.407915354,0
both,GRU,-3.147993088,3.124518394,1
both,GRU,2.580276966,-2.902582407,0
both,GRU,3.022124052,-3.338195562,0
both,GRU,-3.198353767,3.153108358,1
both,GRU,-3.089588165,3.040204525,1
both,GRU,3.032400846,-3.322293758,0
both,GRU,2.714347839,-3.056013823,0
both,GRU,2.502171755,-2.79824543,0
both,GRU,2.96691227,-3.222458363,0
both,GRU,2.412726164,-2.696462631,0
both,GRU,-2.853637695,2.813086271,1
