Stimulus,Variant,Score,Label
both,BaggedTrees,1,1
both,BaggedTrees,1,1
both,BaggedTrees,1,1
both,BaggedTrees,1,1
both,BaggedTrees,1,1
both,BaggedTrees,1,1
both,BaggedTrees,1,1
both,BaggedTrees,1,1
both,BaggedTrees,1,1
both,BaggedTrees,1,1
both,BaggedTrees,1,1
both,BaggedTrees,1,1
both,BaggedTrees,1,1
both,BaggedTrees,1,1
both,BaggedTrees,1,1
both,BaggedTrees,1,1
both,BaggedTrees,1,1
both,BaggedTrees,1,1
both,BaggedTrees,1,1
both,BaggedTrees,1,1
both,BaggedTrees,1,1
both,BaggedTrees,1,1
both,BaggedTrees,1,1
both,BaggedTrees,1,1
both,BaggedTrees,1,1
both,BaggedTrees,1,1
both,BaggedTrees,1,1
both,BaggedTrees,1,1
both,BaggedTrees,1,1
both,BaggedTrees,1,1
both,BaggedTrees,1,1
both,BaggedTrees,1,1
both,BaggedTrees,1,1
both,BaggedTrees,1,1
both,BaggedTrees,1,1
both,BaggedTrees,1,1
both,BaggedTrees,1,1
both,BaggedTrees,1,1
both,BaggedTrees,0,1
both,BaggedTrees,1,1
both,BaggedTrees,1,1
both,BaggedTrees,1,1
both,BaggedTrees,1,1
both,BaggedTrees,1,1
both,BaggedTrees,1,1
both,BaggedTrees,1,1
both,BaggedTrees,1,1
both,BaggedTrees,1,1
both,BaggedTrees,1,1
both,BaggedTrees,1,1
both,BaggedTrees,1,1
both,BaggedTrees,1,1
both,BaggedTrees,1,1
both,BaggedTrees,1,1
both,BaggedTrees,1,1
both,BaggedTrees,1,1
both,BaggedTrees,1,1
both,BaggedTrees,1,1
both,BaggedTrees,1,1
both,BaggedTrees,1,1
both,BaggedTrees,1,1
both,BaggedTrees,1,1
both,BaggedTrees,1,1
both,BaggedTrees,1,1
both,BaggedTrees,1,1
both,BaggedTrees,1,1
both,BaggedTrees,1,1
both,BaggedTrees,1,1
both,BaggedTrees,1,1
both,BaggedTrees,1,1
both,BaggedTrees,1,1
both,BaggedTrees,1,1
both,BaggedTrees,1,1
