Stimulus,Variant,Seconds,Node0,Node1,Label
light,classicLSTM,2,-2.527553558,2.452298164,1
light,classicLSTM,2,3.226667166,-4.766104221,0
light,classicLSTM,2,2.717384577,-4.147117615,0
light,classicLSTM,2,2.06532073,-3.331693172,0
light,classicLSTM,2,-2.102748394,1.905404806,1
light,classicLSTM,2,1.544290066,-2.668237686,0
light,classicLSTM,2,2.555124998,-3.934781551,0
light,classicLSTM,2,2.141816616,-3.42135191,0
light,classicLSTM,2,0.94117415,-1.877615094,0
light,classicLSTM,2,2.478135109,-3.83886528,0
light,classicLSTM,2,-2.361814976,2.260165691,1
light,classicLSTM,2,1.114923716,-2.096094608,0
light,classicLSTM,2,1.115428686,-2.142097473,0
light,classicLSTM,2,1.811834335,-2.997571707,0
light,classicLSTM,2,2.366438389,-3.691915989,0
light,classicLSTM,2,2.221661091,-3.517330647,0
light,classicLSTM,2,2.021732807,-3.268856287,0
light,classicLSTM,2,2.732248545,-4.158509254,0
light,classicLSTM,2,2.046399593,-3.302870274,0
light,classicLSTM,2,-2.240319729,2.120524168,1
light,classicLSTM,2,2.240013838,-3.543069839,0
light,classicLSTM,2,1.706929922,-2.853175402,0
light,classicLSTM,2,2.091176748,-3.376101494,0
light,classicLSTM,2,1.805878401,-2.988246441,0
light,classicLSTM,2,-2.408037663,2.291125059,1
light,classicLSTM,2,2.423937082,-3.772614479,0
light,classicLSTM,2,2.705002308,-4.117584229,0
light,classicLSTM,2,-2.448652983,2.374368191,1
light,classicLSTM,2,3.212258577,-4.739610195,0
light,classicLSTM,2,-2.389147043,2.298305511,1
light,classicLSTM,2,2.830669165,-4.274620533,0
light,classicLSTM,2,3.321659327,-4.885209084,0
light,classicLSTM,2,2.725288153,-4.148484707,0
light,classicLSTM,2,2.365451097,-3.702127934,0
light,classicLSTM,2,-2.399419546,2.282109737,1
light,classicLSTM,2,-2.661192894,2.628274441,1
light,classicLSTM,2,2.85863781,-4.305393219,0
light,classicLSTM,2,2.648285627,-4.052145004,0
light,classicLSTM,2,2.544850349,-3.92129612,0
